modelo,cv_roc_auc,cv_roc_auc_std,train_roc_auc,gap,cv_pr_auc,cv_bal_acc,cv_f1,tempo_s,nota
Regressão Logística,0.8016611985547574,0.03221998768133975,0.8370509572656673,0.03538975871090988,0.6571341811688012,0.7450018688483742,0.6915306259476697,0.43645358085632324,linear regularizada; L1 lida com a colinearidade dos agregados
Random Forest,0.7951617592092696,0.021661969438705197,1.0,0.20483824079073043,0.657437551694648,0.7002242618048922,0.6251879432935633,1.758753776550293,"bagging; variância baixa, pouco sensível a hiperparâmetros"
Gradient Boosting (HistGB),0.7902321524980274,0.0279168729487994,0.9671144981103866,0.17688234561235927,0.6580556697876828,0.7313758877029777,0.6745573299289825,0.9335229396820068,boosting de árvores; referência em dados tabulares
Árvore de Decisão,0.639025707047635,0.01575776974384457,1.0,0.36097429295236505,0.47416272037569307,0.6390257070476348,0.5508787205887007,0.45038485527038574,interpretável; controle direto de complexidade
Baseline (classe majoritária),0.5,0.0,0.5,0.0,0.378125,0.5,0.0,0.3907909393310547,piso de referência
