bloco,n_variaveis,roc_auc,se,ganho
Estadiamento,1,0.8129615017234935,0.004832956648382294,
+ Tumor e metástase,5,0.8109439760787409,0.004848336932886021,-0.002017525644752549
+ Método de diagnóstico,6,0.8109439760787409,0.004848336932886021,0.0
+ Demografia,10,0.81057352880103,0.005501766899847169,-0.0003704472777109613
+ Tabagismo e estilo de vida,19,0.8159217575480708,0.005001283679803745,0.005348228747040884
+ Sintomas,30,0.815425889779476,0.0051250061293335964,-0.0004958677685947821
+ Genética e comorbidades,38,0.8144000996719132,0.005011022449118273,-0.001025790107562874
