mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,split10_train_score,split11_train_score,split12_train_score,split13_train_score,split14_train_score,mean_train_score,std_train_score
0.02926670710245768,0.0016158526304118539,0.010745382308959961,0.0005954658337968032,0.01,l1,"{'clf__C': 0.01, 'clf__penalty': 'l1'}",0.839528219610449,0.7990572698201752,0.7704431247144814,0.854956601187757,0.8018605423813281,0.848893226462893,0.7920594709082603,0.8351883383861456,0.8133228124091532,0.7774616886083309,0.8234976535570414,0.8009261181942771,0.835873582789983,0.794094439137838,0.8087129864197019,0.8130584049725208,0.02480703259799744,3,0.8062886747788529,0.8162636529756219,0.8241738132812825,0.8026833547904813,0.816004090701441,0.8039837617841272,0.8186334565388926,0.8077642863075709,0.8133280036546369,0.821771564433739,0.8103793762199427,0.8159586673034593,0.8070362141284937,0.8179378296440882,0.8139301881307364,0.8130757956448911,0.006270797506669219
0.030004326502482095,0.002000546950527819,0.01056982676188151,0.0008661141361125867,0.01,l2,"{'clf__C': 0.01, 'clf__penalty': 'l2'}",0.8427260268283566,0.7911873416670127,0.7598737489098384,0.8549358362058226,0.8021097221645417,0.8348353336932597,0.7980397857053865,0.8345861539100461,0.808588396528095,0.7764857344574111,0.82316541384609,0.8055982391295319,0.8140288217949251,0.7962539972590225,0.8095435856970806,0.8101305425197612,0.02436718322298404,4,0.8192538103741849,0.8310768719631212,0.8374750820216786,0.817130590971386,0.8302462726857428,0.820255720752523,0.8307913534615227,0.8218831762116366,0.8278453216495701,0.834521263341501,0.8247124050002076,0.8281645832468125,0.8254287968769467,0.8302878026496117,0.8277077536442543,0.82711872032338,0.005524357527063958
0.0283447265625,0.0009520244942784061,0.010434563954671223,0.0004251133233983339,0.03,l1,"{'clf__C': 0.03, 'clf__penalty': 'l1'}",0.8421446073341916,0.7990572698201752,0.7704431247144814,0.8655259769924001,0.8032517961709373,0.8524232733917523,0.7920594709082603,0.8397566344117281,0.8133228124091532,0.7809709705552556,0.812637568005316,0.7918933510527846,0.8330495452468956,0.8033971510444786,0.8157938452593546,0.814381826487811,0.02628366636046808,2,0.815896372357656,0.8162636529756219,0.8241738132812825,0.8100328605839113,0.8256740832260477,0.8141534116865319,0.8186334565388926,0.8167944578263218,0.8133280036546369,0.831027555131027,0.8147231508783588,0.8180831845176295,0.817927447153121,0.8261607624901366,0.822611248390714,0.8190322307127927,0.005530205807203617
0.029474290211995442,0.0011810278594298065,0.010281991958618165,0.00045912078846575366,0.03,l2,"{'clf__C': 0.03, 'clf__penalty': 'l2'}",0.8402757589600898,0.7926824203662943,0.7596245691266249,0.8548527762780846,0.7999916940072261,0.8333817849578471,0.7970015366086631,0.8280659495826239,0.8068441380456,0.7763611445658043,0.8190124174591968,0.8011130030316874,0.8142780015781386,0.7948419784874787,0.8044354001412017,0.8081841715464375,0.023719887571223647,6,0.8248266124008472,0.835006644794219,0.8432970638315544,0.8228279828896549,0.8356321898749949,0.8254236056314632,0.8358190747124049,0.8284838448440549,0.8341267286847461,0.8392738485817517,0.8307913534615226,0.8333454462394617,0.830513621828149,0.8355387474562898,0.8334311017899414,0.8325558578014037,0.005344690413421182
0.030109198888142903,0.0020373515268284135,0.011088673273722332,0.0009043240589752066,0.1,l1,"{'clf__C': 0.1, 'clf__penalty': 'l1'}",0.8395905145562523,0.7999916940072263,0.7651272893392582,0.8662319863781718,0.8060758337140248,0.8449478798953445,0.8002824037543087,0.8353544582416212,0.8154408405664687,0.7786037626147265,0.827318410232983,0.8059720088043524,0.8236637734125172,0.8002824037543087,0.8145479463432868,0.8148954137076568,0.025032261043868957,1,0.8207411022052412,0.8285487354126002,0.8398267162257569,0.8154836683417085,0.8307459300635408,0.8197573611860958,0.8302787179700155,0.823353596494871,0.8285266726192947,0.8347172328585075,0.8238869969683128,0.8289938847128202,0.8245281157855392,0.8313636882760913,0.8297076809668176,0.8273640066724809,0.005973864035718809
0.029938205083211263,0.0013960123925138104,0.009955406188964844,0.00044327156848550045,0.1,l2,"{'clf__C': 0.1, 'clf__penalty': 'l2'}",0.836496532248017,0.7918933510527846,0.7563852319448482,0.8513227293492255,0.7980813156692554,0.8283566593297064,0.7960463474396778,0.8172266290128327,0.8025665517671,0.777648573445741,0.8123676232401679,0.7990365048382408,0.8131151625898085,0.7947173885958719,0.8017359524897213,0.8051331035342,0.02239331800253167,7,0.8284241455209935,0.8377034968229577,0.8472060716807177,0.8260102163711118,0.8392894223182026,0.829283296648532,0.8392738485817518,0.8324162132978945,0.8375321857219984,0.8414853191577724,0.8342175754807093,0.8369715312097679,0.8341968104987748,0.8393153785456207,0.8363433905062503,0.8359779268242036,0.005266715434937935
0.029300991694132486,0.0014038409641698559,0.010092226664225261,0.0006924051920997215,0.3,l1,"{'clf__C': 0.3, 'clf__penalty': 'l1'}",0.8405249387433033,0.7960878774035467,0.7584617301382948,0.8553926658083807,0.803770920719299,0.8354167531874247,0.7975414261389593,0.8266124008472113,0.8125337430956435,0.7760289048548528,0.8193861871340171,0.8051414095269738,0.8189293575314589,0.7985381452718137,0.8028572615141825,0.8098149147943573,0.023793249855552978,5,0.8261322106399768,0.835479048133228,0.8446779351301966,0.824803251796171,0.8360916151002947,0.8272561152871797,0.8380513102703601,0.8297193612691558,0.8351104697038914,0.8392297229951409,0.8321099298143612,0.8343214003903817,0.8320268698866233,0.8358969433946594,0.8353466713733959,0.8337501903456679,0.005085324526991372
0.030839045842488606,0.001072110740715813,0.010128641128540039,0.0004739884621816469,0.3,l2,"{'clf__C': 0.3, 'clf__penalty': 'l2'}",0.8319697661863035,0.7918518210889157,0.7529797749075959,0.8463391336849537,0.7963785871506291,0.8235807134847792,0.7941359691017069,0.8095851156609494,0.7979567257776485,0.7772332738070518,0.807923917106192,0.798911914946634,0.8096681755886872,0.7919348810166535,0.7968354167531874,0.8018190124174592,0.021365821723002356,9,0.8297686781012501,0.8380565015158438,0.848054840317289,0.8272561152871797,0.8405586818389468,0.8306122554923376,0.8401226172183232,0.8335271398313884,0.8386534947464597,0.8420174218198432,0.8354427094148428,0.8379578678516548,0.8355050043606462,0.8408286266040949,0.8368521325636448,0.8370142724642495,0.005125123882800996
0.035430256525675455,0.0023757625294502155,0.011080233256022136,0.00046504321252500345,1.0,l1,"{'clf__C': 1.0, 'clf__penalty': 'l1'}",0.8338801445242743,0.7948835084513476,0.7547655633539598,0.8482079820590556,0.7973337763196146,0.8269031105942938,0.7947589185597409,0.8115785539266581,0.8002824037543087,0.7778146933012169,0.8101250051912454,0.8008638232484738,0.8110801943602309,0.7930146600772457,0.7982059055608621,0.803579882885502,0.02162514734481485,8,0.8296934050417376,0.8374880601353876,0.8476966443789196,0.8270951866771876,0.8406157855392666,0.8303267369907388,0.8403354582831513,0.8329664853191578,0.8386612816146849,0.8416747996179244,0.8354297313011338,0.8372752190705594,0.8352220814817891,0.8402523983554134,0.8363200299015741,0.8367368869139084,0.005108600891388817
0.03278085390726725,0.0012535087284081885,0.010680357615152994,0.0007193708333388967,1.0,l2,"{'clf__C': 1.0, 'clf__penalty': 'l2'}",0.8302670376676773,0.792807010257901,0.7514016362805764,0.8424353170812742,0.7913949914863574,0.820673616013954,0.7923086506914739,0.8058889488766144,0.7943851488849204,0.7769840940238382,0.8050583495992358,0.7968354167531875,0.8074670875036339,0.7897337929316001,0.7941774990655758,0.7994545731411881,0.020837662118748046,11,0.8301943602309065,0.8382226213713195,0.8481249221313177,0.8273651314423356,0.8413477511524566,0.8311443581544082,0.8404860044021761,0.8338230408239545,0.839053220648698,0.8425131857635284,0.8361720794052908,0.8381551351800323,0.8358476265625648,0.8408545828315129,0.8368780887910628,0.8373454739261044,0.0051047949505996235
